tension	ID_Bus	Coord_X	Coord_Y	modelo	estado
13,2 kV	835.0	2562737.9658428966	6503647.408432727	NULL	NULL
13,2 kV	836.0	2562691.6004256234	6503618.437894519	NULL	NULL
13,2 kV	837.0	2562500.2751985253	6503504.279983685	NULL	NULL
13,2 kV	838.0	2562687.9304884505	6504440.839677956	Fusible	Cerrado
13,2 kV	839.0	2562505.3885560664	6504549.9292871	NULL	NULL
13,2 kV	840.0	2562203.9266739716	6504614.765556716	NULL	NULL
13,2 kV	841.0	2562207.6367998784	6504660.021101919	NULL	NULL
13,2 kV	842.0	2562182.545620998	6504668.122976873	NULL	NULL
13,2 kV	843.0	2562190.370258276	6504715.050650536	NULL	NULL
13,2 kV	844.0	2562952.3814220144	6504387.150073567	Cuchilla	Cerrado
13,2 kV	845.0	2562823.4023177726	6504411.473704366	NULL	NULL
13,2 kV	846.0	2564150.258170457	6502028.532999899	NULL	NULL
13,2 kV	847.0	2564236.4110651533	6502474.811151726	NULL	NULL
13,2 kV	848.0	2565732.334808432	6502930.270612497	NULL	NULL
13,2 kV	849.0	2565264.858019888	6502131.791727879	NULL	NULL
13,2 kV	850.0	2565335.745981168	6502077.4276041025	NULL	NULL
13,2 kV	851.0	2565384.42325264	6502028.643512249	NULL	NULL
13,2 kV	852.0	2563703.86244674	6502833.012638209	NULL	NULL
13,2 kV	853.0	2563946.6375943464	6502788.963453575	NULL	NULL
13,2 kV	854.0	2563209.6788084814	6502992.92566823	Cuchilla	Cerrado
13,2 kV	855.0	2563042.668835335	6503721.074406445	NULL	NULL
13,2 kV	856.0	2565040.1986232796	6502355.610107908	NULL	NULL
13,2 kV	857.0	2565064.1513055414	6502334.183145606	NULL	NULL
13,2 kV	858.0	2564902.01329696	6502465.22704294	NULL	NULL
13,2 kV	859.0	2564954.6983293723	6502424.016277542	Seccionalizador	Cerrado
13,2 kV	860.0	2564270.420396365	6502650.981918032	Fusible	Cerrado
13,2 kV	861.0	2564008.325133717	6501806.459893703	Fusible	Cerrado
13,2 kV	862.0	2563868.431211184	6501831.49352802	NULL	NULL
13,2 kV	863.0	2564042.087899195	6501495.044335284	NULL	NULL
13,2 kV	864.0	2564100.76157683	6501784.419054941	NULL	NULL
13,2 kV	865.0	2564005.1213880894	6501446.395047919	Fusible	Cerrado
13,2 kV	866.0	2563394.384430069	6501571.579675681	NULL	NULL
13,2 kV	867.0	2563315.8020710135	6501588.910490106	Fusible	Cerrado
13,2 kV	868.0	2563327.811409043	6500899.897883443	NULL	NULL
13,2 kV	869.0	2563328.3871778008	6500879.445165814	NULL	NULL
13,2 kV	870.0	2563013.1970894434	6506360.058558172	NULL	NULL
13,2 kV	871.0	2562617.360284667	6506473.007318623	NULL	NULL
13,2 kV	872.0	2562034.531782701	6506652.649749086	NULL	NULL
13,2 kV	873.0	2564492.150484965	6505465.8529680725	NULL	NULL
13,2 kV	874.0	2564819.5238125217	6505399.236650802	Fusible	Cerrado
13,2 kV	875.0	2564846.4663216355	6505367.519925234	NULL	NULL
13,2 kV	876.0	2564855.376238021	6505407.888558863	Fusible	Cerrado
13,2 kV	877.0	2565059.4307056223	6506260.636914971	NULL	NULL
13,2 kV	878.0	2564850.9915567976	6505388.877555597	NULL	NULL
13,2 kV	879.0	2564872.7264259523	6505385.493592095	Fusible	Cerrado
13,2 kV	880.0	2565378.2787428163	6505278.388779858	NULL	NULL
13,2 kV	881.0	2564808.502576514	6505188.793643969	NULL	NULL
13,2 kV	882.0	2564641.738046402	6504425.165634887	NULL	NULL
13,2 kV	883.0	2564514.946436325	6504049.187394327	Fusible	Cerrado
13,2 kV	884.0	2564553.9796307953	6504040.289708412	NULL	NULL
13,2 kV	885.0	2564611.1104446165	6504028.213318505	Fusible	Cerrado
13,2 kV	886.0	2564707.1691796933	6504007.907652336	NULL	NULL
13,2 kV	887.0	2565121.0490090027	6503921.311917999	NULL	NULL
13,2 kV	888.0	2565853.053257415	6503766.306427294	Cuchilla	Cerrado
13,2 kV	889.0	2565907.0439673774	6503746.759452167	Fusible	Cerrado
13,2 kV	890.0	2565887.31306971	6503758.854257725	NULL	NULL
13,2 kV	891.0	2565871.369149944	6503762.321088295	NULL	NULL
13,2 kV	892.0	2565862.331561933	6503707.310462475	Fusible	Abierto
13,2 kV	893.0	2565889.627675177	6503686.093271221	NULL	NULL
13,2 kV	894.0	2565881.6444047336	6503809.400650337	Fusible	Cerrado
13,2 kV	895.0	2566006.7423390322	6504409.789333794	NULL	NULL
13,2 kV	896.0	2566156.386311567	6505131.525804299	Fusible	Cerrado
13,2 kV	897.0	2566187.5213148454	6505126.272900906	NULL	NULL
13,2 kV	898.0	2564448.173294322	6504065.730001398	NULL	NULL
13,2 kV	899.0	2563600.700317568	6505708.20397252	NULL	NULL
13,2 kV	900.0	2563609.48445995	6506064.091028905	NULL	NULL
13,2 kV	901.0	2563583.858917004	6506101.0841289135	NULL	NULL
13,2 kV	902.0	2563551.415773551	6506140.236284008	NULL	NULL
13,2 kV	903.0	2563506.3426694535	6506187.622274346	NULL	NULL
13,2 kV	904.0	2563475.2019999283	6506215.004581169	NULL	NULL
13,2 kV	905.0	2563439.6485001286	6506233.312936958	NULL	NULL
13,2 kV	906.0	2563398.3614536664	6506255.5480526285	Fusible	Cerrado
13,2 kV	907.0	2563551.41614777	6506238.392836749	Fusible	Cerrado
13,2 kV	908.0	2563541.4868158465	6506777.393033771	NULL	NULL
13,2 kV	909.0	2566209.8563029463	6505237.059880653	Fusible	Cerrado
13,2 kV	910.0	2566264.8907059943	6505510.033862351	NULL	NULL
13,2 kV	911.0	2566373.1544450177	6506047.028583434	NULL	NULL
13,2 kV	912.0	2566246.6369023314	6505114.9583837865	Fusible	Cerrado
13,2 kV	913.0	2566860.018581432	6504997.539041296	NULL	NULL
13,2 kV	914.0	2566863.284265642	6505014.682830851	Fusible	Cerrado
13,2 kV	915.0	2567002.6888961946	6505750.35157919	NULL	NULL
13,2 kV	916.0	2566873.9750137865	6504994.579540704	NULL	NULL
13,2 kV	917.0	2567434.5074739493	6504877.926171576	Cuchilla-interconectador	Abierto
13,2 kV	918.0	2567458.1056192126	6504873.05759036	NULL	NULL
13,2 kV	919.0	2567917.255881512	6504778.334457925	NULL	NULL
13,2 kV	920.0	2567502.175461476	6504864.062697371	NULL	NULL
13,2 kV	921.0	2568975.26604786	6504569.352528084	Fusible	Cerrado
13,2 kV	922.0	2569027.5838803365	6504564.20623263	NULL	NULL
13,2 kV	923.0	2569099.0113839745	6504561.539551702	NULL	NULL
13,2 kV	924.0	2569136.1903202618	6504557.791010905	NULL	NULL
13,2 kV	925.0	2569250.115772889	6504554.191143723	NULL	NULL
13,2 kV	926.0	2569267.5041848025	6504530.981378841	NULL	NULL
13,2 kV	927.0	2569401.7030202993	6504543.110055016	NULL	NULL
13,2 kV	928.0	2569471.064867699	6504537.526646457	NULL	NULL
13,2 kV	929.0	2569598.9967036108	6504526.666988399	NULL	NULL
13,2 kV	930.0	2569738.9540956686	6504537.528780554	NULL	NULL
13,2 kV	931.0	2569807.0217536134	6504586.963527309	NULL	NULL
13,2 kV	932.0	2567427.5929449033	6504656.584893574	NULL	NULL
13,2 kV	933.0	2567442.016892977	6504727.158851905	Fusible	Cerrado
13,2 kV	934.0	2567185.1340495045	6503471.297170373	NULL	NULL
13,2 kV	935.0	2566937.390142183	6502260.965231885	Fusible	Cerrado
13,2 kV	936.0	2567054.526608705	6502849.12853347	NULL	NULL
13,2 kV	937.0	2566924.2089766064	6502188.362777325	NULL	NULL
13,2 kV	938.0	2566934.839541826	6502241.713546612	NULL	NULL
13,2 kV	939.0	2566909.9510046365	6502191.247722955	Fusible	Cerrado
13,2 kV	940.0	2566569.133742743	6502262.156468032	NULL	NULL
13,2 kV	941.0	2566919.325350434	6502170.435877148	NULL	NULL
13,2 kV	942.0	2566690.035587101	6501072.566032169	NULL	NULL
13,2 kV	943.0	2566701.505671244	6501125.354893359	NULL	NULL
13,2 kV	944.0	2566691.8219647026	6501136.789191415	NULL	NULL
13,2 kV	945.0	2566705.496218841	6501206.495209929	Fusible	Cerrado
13,2 kV	946.0	2566661.7653968013	6501078.226213352	Fusible	Cerrado
13,2 kV	947.0	2566500.825681034	6501110.448793288	NULL	NULL
13,2 kV	948.0	2566674.6528938846	6500988.934096679	NULL	NULL
13,2 kV	949.0	2566685.292713237	6501049.081301771	Seccionalizador	Cerrado
13,2 kV	950.0	2566696.537279094	6500983.158968812	Fusible	Cerrado
13,2 kV	951.0	2566686.2645672834	6500738.395263344	Cuchilla	Cerrado
13,2 kV	952.0	2566610.521850548	6500827.6939839935	Cuchilla	Cerrado
13,2 kV	953.0	2566630.6785392533	6500804.016864756	NULL	NULL
13,2 kV	954.0	2566640.983626702	6500849.948891085	Cuerno	Cerrado
13,2 kV	955.0	2566646.1802294864	6500869.911928215	NULL	NULL
13,2 kV	956.0	2566179.7300240076	6501230.905701242	NULL	NULL
13,2 kV	957.0	2566215.335767717	6501195.776848071	NULL	NULL
13,2 kV	958.0	2566311.13733354	6501107.790287689	NULL	NULL
13,2 kV	959.0	2566411.632300473	6500996.467421211	NULL	NULL
13,2 kV	960.0	2566478.977980174	6500927.635816617	NULL	NULL
13,2 kV	961.0	2566526.544336778	6500897.170177367	NULL	NULL
13,2 kV	962.0	2566547.2137025073	6500890.654604207	NULL	NULL
13,2 kV	963.0	2566075.8589678663	6501333.838450763	NULL	NULL
13,2 kV	964.0	2566143.144787324	6501265.055550796	NULL	NULL
13,2 kV	965.0	2566174.9181506145	6501235.674238742	NULL	NULL
13,2 kV	966.0	2566006.1404837416	6501404.472553115	Fusible	Cerrado
13,2 kV	967.0	2566088.1341126314	6501342.759087206	NULL	NULL
